Documet1,Document2,K,ShinglesJaccard,AproxSim
"1-Mare-Balena","17-Don-Quijote",2,0.497207,0.732082
"1-Mare-Balena","17-Mare-Balena",2,0.848101,0.851132
"1-Mare-Balena","17-Pride-Perjudice",2,0.318318,0.52499
"1-Mare-Balena","18-Don-Quijote",2,0.297806,0.410964
"1-Mare-Balena","18-Mare-Balena",2,0.294776,0.273476
"1-Mare-Balena","18-Pride-Perjudice",2,0.211155,0.315281
"1-Mare-Balena","19-Don-Quijote",2,0.38535,0.488199
"1-Mare-Balena","19-Mare-Balena",2,0.358362,0.370759
"1-Mare-Balena","19-Pride-Perjudice",2,0.0336134,0.045924
"1-Mare-Balena","2-Don-Quijote",2,0.174129,0.215191
"1-Mare-Balena","2-Mare-Balena",2,0,0.00314937
"1-Mare-Balena","2-Pride-Perjudice",2,0.0183824,0.0219975
"1-Mare-Balena","20-Don-Quijote",2,0.160976,0.223859
"1-Mare-Balena","20-Mare-Balena",2,0.37751,0.353874
"1-Mare-Balena","20-Pride-Perjudice",2,0.332344,0.498037
"1-Mare-Balena","3-Don-Quijote",2,0.033195,0.0281349
"1-Mare-Balena","3-Mare-Balena",2,0.328467,0.330075
"1-Mare-Balena","3-Pride-Perjudice",2,0.0896057,0.13181
"1-Mare-Balena","4-Don-Quijote",2,0.234432,0.336716
"1-Mare-Balena","4-Mare-Balena",2,0.367213,0.353744
"1-Mare-Balena","4-Pride-Perjudice",2,0.0833333,0.165229
"1-Mare-Balena","5-Don-Quijote",2,0.158845,0.208702
"1-Mare-Balena","5-Mare-Balena",2,0.00738007,0.0063024
"1-Mare-Balena","5-Pride-Perjudice",2,0.0382514,0.0681161
"1-Mare-Balena","6-Don-Quijote",2,0.339041,0.404069
"1-Mare-Balena","6-Mare-Balena",2,0.610922,0.577846
"1-Mare-Balena","6-Pride-Perjudice",2,0.201413,0.308629
"1-Mare-Balena","7-Don-Quijote",2,0.0338983,0.0504101
"1-Mare-Balena","7-Mare-Balena",2,0.675325,0.66394
"1-Mare-Balena","7-Pride-Perjudice",2,0,0.0124345
"1-Mare-Balena","8-Don-Quijote",2,0.1875,0.242624
"1-Mare-Balena","8-Mare-Balena",2,0.618421,0.601536
"1-Mare-Balena","8-Pride-Perjudice",2,0.0425532,0.0351883
"1-Mare-Balena","9-Don-Quijote",2,0.101322,0.11856
"1-Mare-Balena","9-Mare-Balena",2,0.284553,0.308121
"1-Mare-Balena","9-Pride-Perjudice",2,0.170149,0.285525
"1-Pride-Perjudice","10-Don-Quijote",2,0.057971,0.0590966
"1-Pride-Perjudice","10-Mare-Balena",2,0.109244,0.239592
"1-Pride-Perjudice","10-Pride-Perjudice",2,0.522491,0.521859
"1-Pride-Perjudice","11-Don-Quijote",2,0.0983607,0.159482
"1-Pride-Perjudice","11-Mare-Balena",2,0.114504,0.13849
"1-Pride-Perjudice","11-Pride-Perjudice",2,0.146341,0.129916
"1-Pride-Perjudice","12-Don-Quijote",2,0.498695,0.916165
"1-Pride-Perjudice","12-Mare-Balena",2,0.290625,0.523723
"1-Pride-Perjudice","12-Pride-Perjudice",2,0.673401,0.672387
"1-Pride-Perjudice","13-Don-Quijote",2,0.0872483,0.148176
"1-Pride-Perjudice","13-Mare-Balena",2,0.0909091,0.125083
"1-Pride-Perjudice","13-Pride-Perjudice",2,0.428571,0.421375
